id,name,url,image,features,hashtags
# ↑ヘッダー行は消さないでください。
# ↓この「#」で始まる行は説明とサンプルです。実際の商品を書くときは「#」を付けずに追加してください。
#
# id       : 商品を見分けるための短い名前（英数字。重複しないもの）
# name     : 商品名（そのまま投稿文に使われます）
# url      : 商品ページのURL（投稿の文末に入ります）
# image    : images フォルダに入れた画像ファイル名（空欄なら id で始まる画像を自動で探します）
# features : 商品の特徴。「|」で区切って2〜4個くらい書くと文章のバリエーションが増えます
#            「肌ざわりがやわらかい」のような文でも「深めのかぶり心地」のような単語でもOKです
# hashtags : 投稿に付けるハッシュタグ。空欄なら #MAMC が自動で付きます（スペース区切り）
#
# --- 書き方のサンプル（このまま使わないでください） ---
#mamc-tee-01,MAMC ロゴTシャツ,https://example.com/items/tee01,mamc-tee-01.jpg,肌ざわりがやわらかい|1枚でも重ねても着られる|洗濯してもへたりにくい,#MAMC #Tシャツ
#mamc-cap-01,MAMC ベースボールキャップ,https://example.com/items/cap01,,深めのかぶり心地|どんな服にも合わせやすい,#MAMC #キャップ
